Period,Month,Year,Sand_Area_km2,Sand_Percentage,Water_Area_km2,Water_Percentage,Total_AOI_km2
Jan_1988,Jan,1988,5.886041324,67.86454665,1.489379323,17.17216156,8.673219839
Feb_1988,Feb,1988,6.40525706,73.85097091,0.830729424,9.578097172,8.673219839
Mar_1988,Mar,1988,6.035847479,69.5917732,0.920442824,10.61246967,8.673219839
Sep_1988,Sep,1988,1.452304488,16.74469822,2.468252957,28.45832347,8.673219839
Oct_1988,Oct,1988,5.228716764,60.28576309,3.14263839,36.23381452,8.673219839
Jan_1989,Jan,1989,5.130037546,59.14801701,1.820366264,20.98835609,8.673219839
Feb_1989,Feb,1989,5.673218639,65.41075569,1.288750955,14.85896794,8.673219839
Mar_1989,Mar,1989,6.045104093,69.69849959,0.384790893,4.436540299,8.673219839
Oct_1989,Oct,1989,0.828215612,9.549113567,1.576074663,18.17173659,8.673219839
Nov_1989,Nov,1989,4.352345243,50.18142425,2.250438221,25.94697544,8.673219839
Dec_1989,Dec,1989,0,0,0,0,8.673219839
Jan_1990,Jan,1990,5.541866417,63.89629826,1.750752715,20.18572972,8.673219839
Feb_1990,Feb,1990,5.398243053,62.24035772,1.674540903,19.30702708,8.673219839
Apr_1990,Apr,1990,3.083279744,35.54942457,3.822168356,44.06862073,8.673219839
Aug_1990,Aug,1990,0.43115338,4.971087877,0.367696338,4.239444462,8.673219839
Dec_1990,Dec,1990,4.330450585,49.92898446,1.266643369,14.60407314,8.673219839
Jan_1991,Jan,1991,5.797315813,66.84156427,1.658557766,19.12274561,8.673219839
Feb_1991,Feb,1991,6.100310644,70.33501695,1.028477211,11.85807843,8.673219839
Oct_1991,Oct,1991,1.718952721,19.81908395,2.711020687,31.25737313,8.673219839
Nov_1991,Nov,1991,4.350947851,50.16531267,2.434322116,28.06710957,8.673219839
Dec_1991,Dec,1991,4.99745177,57.61933703,2.01570024,23.24050673,8.673219839
Jan_1992,Jan,1992,5.433088029,62.64211134,1.663926659,19.18464757,8.673219839
Mar_1992,Mar,1992,3.860019681,44.5050368,0,0,8.673219839
Apr_1992,Apr,1992,6.018893713,69.39630063,0.327672752,3.777982774,8.673219839
May_1992,May,1992,0,0,0,0,8.673219839
Jul_1992,Jul,1992,0,0,0,0,8.673219839
Aug_1992,Aug,1992,0,0,0.049821029,0.574423681,8.673219839
Nov_1992,Nov,1992,4.560498291,52.58137549,2.264809991,26.11267825,8.673219839
Dec_1992,Dec,1992,5.086352388,58.64433834,1.538929779,17.74346561,8.673219839
Jan_1993,Jan,1993,4.969020262,57.29152903,1.611762511,18.58320833,8.673219839
Mar_1993,Mar,1993,6.291387185,72.53808046,0.916323621,10.5649763,8.673219839
Apr_1993,Apr,1993,6.428647932,74.12066166,0.231851962,2.673193651,8.673219839
Oct_1993,Oct,1993,4.292424044,49.49054819,2.727158621,31.44343937,8.673219839
Nov_1993,Nov,1993,4.695721563,54.14046514,2.256666653,26.01878765,8.673219839
Jan_1994,Jan,1994,5.674217888,65.42227677,1.7038212,19.64462139,8.673219839
Feb_1994,Feb,1994,6.38862292,73.65918354,1.239090546,14.28639616,8.673219839
Mar_1994,Mar,1994,6.440050763,74.25213338,0.637790035,7.353555501,8.673219839
Jul_1994,Jul,1994,1.987301304,22.91307428,2.182651471,25.16541159,8.673219839
Oct_1994,Oct,1994,3.417318354,39.40080406,2.755125961,31.76589562,8.673219839
Nov_1994,Nov,1994,3.936832271,45.39066626,1.626559733,18.7538165,8.673219839
Dec_1994,Dec,1994,5.48478032,63.2381102,1.589038655,18.32120809,8.673219839
Jan_1995,Jan,1995,5.164443213,59.54470553,1.331655673,15.35364833,8.673219839
Feb_1995,Feb,1995,5.624598184,64.85017431,0.944059951,10.88476907,8.673219839
Mar_1995,Mar,1995,0.272223147,3.138663055,0,0,8.673219839
Apr_1995,Apr,1995,2.175288369,25.08051691,0,0,8.673219839
Nov_1995,Nov,1995,3.934263488,45.36104885,3.141063719,36.21565897,8.673219839
Feb_1996,Feb,1996,5.491883642,63.32000968,1.780750556,20.53159714,8.673219839
May_1996,May,1996,0.732774827,8.448705798,1.269204966,14.63360769,8.673219839
Oct_1996,Oct,1996,3.848958436,44.37750348,2.995320278,34.53527449,8.673219839
Nov_1996,Nov,1996,3.872853189,44.65300385,3.057403445,35.25107747,8.673219839
Dec_1996,Dec,1996,4.540300582,52.34850109,2.28158117,26.30604564,8.673219839
Jan_1997,Jan,1997,4.612894549,53.18549091,1.885413402,21.73833291,8.673219839
Apr_1997,Apr,1997,0,0,0,0,8.673219839
May_1997,May,1997,4.636184152,53.45401405,0.738847967,8.518727542,8.673219839
